#dt=1.000000e-08 Ndt=2500000 T=0.025 t1=35.2766 n=3527663520LU=2.50025e+10LF
#-8 8 27 0 0 #x,y,z t j
-0.452168331149170900930927761570853319087603442082642743879062012854512489016172e1 0.7437208069641177075967895367242938526017845613543389428605295525226755816248553e1 0.241030674676386333335527846848432094486222096099823524166070606251579286801842e2 0.25e-1 1
-0.1944379915670016756305362075765900091116551532637354943657770947208992513508118e1 0.6873853178593889393608892973695156605795830484517011267005979186371745454716125e1 0.2200125009191052930418242856023486752215114193397276758613002230270537898137434e2 0.4999999999999999999999999999999999999999999999999999999999999999999999999999999e-1 2
-0.3630553649587889603587387683875783641938852502894310478349408045228455624239094e-1 0.6551928590117316015525713476071061692805573773871795925450907268437493487291883e1 0.2043014434073816101907376476011313085015408965732983899796917312696142797992709e2 0.7499999999999999999999999999999999999999999999999999999999999999999999999999999e-1 3
0.1413775661053001340349730590894955885428979019518508895598148235693630858007073e1 0.6539950620609911408224972658753323359737749285344290097403633100719749069638431e1 0.1922715989620762962745792764374244799147222466833892024496589785077723135517703e2 0.9999999999999999999999999999999999999999999999999999999999999999999999999999998e-1 4
0.2576742418797417986120174446476068208492744607683687680651968464113145392541607e1 0.6841187719868676948535999694062510969311791597461132614611182075700630291211802e1 0.1831347501977364926115960136624460894126367067441747429399208731007390963015722e2 0.125e0 5
0.3583658739736782539566973432380259370737687796721527248329640209589343928148467e1 0.7439309450324815291228842933953493123650979074470838355765049812376720362316849e1 0.1766639156860876535288456966144695251071149796837113934569698232818630951780139e2 0.15e0 6
0.4532359091619244156266033418370820805681992635068120403719628354721712064051455e1 0.8313470736371362793268435723410388954182227973366316990517015969557684157930824e1 0.1730131295331375234993577045434806706884248715486556545194325590156033231327949e2 0.175e0 7
0.5493994285253821813588044869056848465819457033722675456366108568368998674330724e1 0.9438231099284625328517742414779420440332904077090383709658728006305597983634661e1 0.1726261065223362389387714863067841703947321884626928338662570634106308122483525e2 0.2e0 8
0.6516991720936617149744135236483832019256664283564731035549337616419358064995853e1 0.1077427279647704103259220072575572398132652182672970184771075970166922887576176e2 0.1761854348114388272461979110570282197087842787814815631549481309384093434166957e2 0.225e0 9
0.7627248071469887313688644559390784937811233653973309546549917407395758657911677e1 0.1225209655924000663693114581955933408994974709665572292397269240895873307659123e2 0.1845443511418078442978344356497698907406751547466496297689817777226300478132942e2 0.25e0 10
